connect,nutrition,smart,easy,community,analyze,customer,custom,coach,track,video,goggles
,,,,,,,,,,,
,,,,,,,,,,"Everything is premium I installed the app to learn different swimming technics, after about 5 mins I decided to come here and write that I found nothing free to look at. Every video I checked is premium, every workout is premium, all I pressed on was premium, are you serious???",
,,,,,,,There's nothing free in this app. It's too bad because I cannot afford to subscribe. I was able to do custom workouts and send to my watch but now for even that I need to subscribe.,,,,
,,,,,,,,,,Can't so anything with the free version. Every action prompts you to sign up to a subscription. Including watching videos that are available for free on YouTube. Why offer a free version??,
,,,,,,,,,,,
,,,,,,"Opened the app, and uninstalled in a few minutes. $120 subscription, really? Maybe make it $5/month or something. You will lose a lot of potential customers because of this annually charged crazy price.","Opened the app, and uninstalled in a few minutes. $120 subscription, really? Maybe make it $5/month or something. You will lose a lot of potential customers because of this annually charged crazy price.",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,They are constantly improving the app and the workouts are terrific. Really easy to follow.,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"Helped me swim my first 1500m open swim!! A bit pricey, but for someone without any background, or minimal background in swimming; the app is cheaper than hiring a coach or joining swim class.",,,
,,,,,,,,,,,
,,,As a swimmer myself this motavates me to beat my friends in the many swim competitions that this app runs. I highly recommend if your looking for an easy to use fitness app.,,,,,,,,
,,,,,,,,,,,
,,,,,,,Downloaded this after watching some good YouTube videos. Disappointed to find EVERYTHING is behind a huge paywall despite the video suggesting otherwise. Will take my custom elsewhere.,,,Downloaded this after watching some good YouTube videos. Disappointed to find EVERYTHING is behind a huge paywall despite the video suggesting otherwise. Will take my custom elsewhere.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"the app is great, the workouts are well constructed, and the smart watch interface is really nice",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"Hi, I've been trying to pay for the elite coach plan but the app send me an error OR-CAC-02 every time I'm trying to pay with PayPal or my credit card.",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,"it's good if you have a compatible tracking watch , check before buying watch or app.",,
,,,,,,,,,,,
"cant even connect to fitbit, says enter authorization number in the setting, but in the settings there no options where to key on the number",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,worst app i paid for yearly subscription but no videos are playing there are many problems in app don't go for paid subscription,
,,,,,,,,,,,
App will not connect to Wear OS smartwatch. Wear OS app seems like an after thought.,,App will not connect to Wear OS smartwatch. Wear OS app seems like an after thought.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,+ structured workouts - drills not linked to videos - set timings off but should improve by entering personalized intervals,
,,,,,,,,The coach option does not work... What is happening? Fix the bug!,,,
,,,,,,"Excellent concept, well-designed training plans, and superb customer service","Excellent concept, well-designed training plans, and superb customer service",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Horrible. It does not connect to my fitbit versa at all .,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Don't waste your money or time. YouTube videos provide more info than this useless app.,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bad it does not connect to Garmin ... Bad bad bad,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
does it connect to fitbit inspire hr,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"I have no idea how to access any of the free features of this app or how to 
get it to connect to my fitbit. It does not seem to want to help me log my 
swims. I have access to Swimtag for free at my pool which is far more use.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"There's an application for the Fitbit versa, but the mobile app is 
confusing, and it doesn't connect to Fitbit app or directly to the versa, 
making it pretty useless for now",,,,,,,,,,,
,,,,,,,,,,,
,,,"I just started swimming and I love this app! I have improved so much with 
MySwimPro, really happy I picked up swimming, this app makes it easy.",,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,"First, the best way to get better is with a team and or coach. I was not able to get any refund after I decided to cancel my subscription on the first day after the free trial ended. So now I have paid $100 for a year, and not the app will not allow me to access any of the workouts.",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Had some chances to try it. Logging is easy and quite convenient. I'm missing some options though. For instance it's impossible to log a combined set like kick-drill or kick-drill-swim. Or 100 free/50 stroke. The only option remains to write description. Also sync with USMS times doesn't work on my device (pixel xl) - gives me an error.,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Its pretty cool so far but the tip videos won't play.,
,,,,,,Great app. Also great and fast customer service. Had an issue and it was sorted very quickly.,Great app. Also great and fast customer service. Had an issue and it was sorted very quickly.,,,,
,,,,,,,,,,,
,,,,,,,"Don't advertise yourself as free in the app store if you are not free. For those who are reading this the app is $7.99 a month.  The app doesn't tell you until you create an account and custom your profile.  It's a huge waste of time. You do all this only for it to tell you... Now the next step is to select what kind of membership you want.  The cheapest option is $7.99 a month.  NO PHONE APP SHOULD COST THAT MUCH!  Responding to your comment: HA! That's a scam if I ever saw one.  I'm willing to bet your ""free trial"" required a credit card... And that it's next to impossible to end, thus, you end up getting charged. Does that sound about right.",,,,
,,,,,,Good but hard to cancel.  Signed up for the free month.  Tried to cancel and reach out to customer service.  It seems like this company is one guy on a WordPress site with awesome and helpful videos,Good but hard to cancel.  Signed up for the free month.  Tried to cancel and reach out to customer service.  It seems like this company is one guy on a WordPress site with awesome and helpful videos,,,Good but hard to cancel.  Signed up for the free month.  Tried to cancel and reach out to customer service.  It seems like this company is one guy on a WordPress site with awesome and helpful videos,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Awesome for tracking your progress,,
,,,,,,,,,Easy to use and helpful I'm keeping track of workouts,,
,,,,,,,,,,,
,,,,,,,,,"I just want to track my swimming workouts.  This app looks like it can't let me do this simple task.  Clunky app with lots of colour and stupid words of encouragement.   I don't need an app to convince me to swim or tell me swimming's ""hidden"" benefits.  Deleting it now.",,
,,,,,,,,,,You have to pay for watching videos? Common. .,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,"I also would like a weight tracker with graph, km or Miles and to modify the time it takes to swim a workout. No beginner can swim that fast, even a former competitive swimmer like me. It would also be nice to log other types of workouts like yoga etc. Pros: the videos I watched were pretty good, not always the right video in the right place. Easy to use and learn. Like the custom workout feature. Give it a try but be prepared it may cost you for the features you want.",,"I also would like a weight tracker with graph, km or Miles and to modify the time it takes to swim a workout. No beginner can swim that fast, even a former competitive swimmer like me. It would also be nice to log other types of workouts like yoga etc. Pros: the videos I watched were pretty good, not always the right video in the right place. Easy to use and learn. Like the custom workout feature. Give it a try but be prepared it may cost you for the features you want.","I also would like a weight tracker with graph, km or Miles and to modify the time it takes to swim a workout. No beginner can swim that fast, even a former competitive swimmer like me. It would also be nice to log other types of workouts like yoga etc. Pros: the videos I watched were pretty good, not always the right video in the right place. Easy to use and learn. Like the custom workout feature. Give it a try but be prepared it may cost you for the features you want.",
,,,,,,,,,,"This app is a must for any swimmer, its the best it has video's, and tips that can really help a swimmer on thier game a d also we can log in our time and work out.",
,,,,,,,,,,,
,,,,,,"After more than 9 months of use, all of my data - all of my logged swims - are gone. Very upsetting. Update: The developers were able to find and restore my data.I'm really impressed with their customer service for a free app. Great guys. Based on the incredible effort they made to get my swim data back, I've added 2 stars to my review.","After more than 9 months of use, all of my data - all of my logged swims - are gone. Very upsetting. Update: The developers were able to find and restore my data.I'm really impressed with their customer service for a free app. Great guys. Based on the incredible effort they made to get my swim data back, I've added 2 stars to my review.",,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Just started using this app properly and was surprised by the calibre of information available. The videos are very informative and the drills have really helped develop my technique. Overall great app for improving your swimming,
,,,,,,,,,,,
,,,,,,,,The best coaching available ...  this is what i have been looking for ... !! U should really download it ...,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,It's like your own personal coach in your pocket. Great workouts and I can't wait to start using this to get back into shape. I've swam for years and even at the college level but I have been out of it for a while now so having an app full of workouts will make it easy to get back in the water with so many great practices to pick from.,,,,,It's like your own personal coach in your pocket. Great workouts and I can't wait to start using this to get back into shape. I've swam for years and even at the college level but I have been out of it for a while now so having an app full of workouts will make it easy to get back in the water with so many great practices to pick from.,,,
,,,,,,,,,"I'm a huge fan of this well designed app! I've been able to keep better track of my swimming workouts, even motivating myself to swim more! Highly recommended!",,
,,,,,,,,,,If you go to the pool and sometimes can't figure out a workout on the top of your head. This app is for you. Just pick your swimming  level pick what you want to work on and your workout and you are off to the races. The best part is they give you links to YouTube videos of the drills you should be doing in the workout. :),
,,,,,,,,,,,
,,,,,,,,,,,
,,,This app made it easy for me to keep track of my training. The layout is also very cool and made me excited about fitness.,,,,,,This app made it easy for me to keep track of my training. The layout is also very cool and made me excited about fitness.,,
,,,,,,,,,,,
,,,,,,,,,Offers a variety of structured swimming sets to help keep you in shape and on track to reaching your goals.,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"This app has a great, easy-to-use interface. Whether you are a seasoned veteran swimmer, or relatively a novice, this app can help you improve your swimming abilities by allowing you to track your own workout performance.",,,,,,"This app has a great, easy-to-use interface. Whether you are a seasoned veteran swimmer, or relatively a novice, this app can help you improve your swimming abilities by allowing you to track your own workout performance.",,
,,,Dedicated swimmer here and this is just what I have been looking for to help me organize and track my workouts. Love how easy it is to use.,,,,,,Dedicated swimmer here and this is just what I have been looking for to help me organize and track my workouts. Love how easy it is to use.,,
,,,Simple and easy. Nothing too fancy and it does exactly what I need. Thanks to this group for understanding their user,,,,,,,,
,,,,,,,,,,"It has great potential. I like the training videos, there needs to be more of these. I'm not sure what 'descend 1-4' etc means, or 'just make'? You should also be able to select a workout based solely on strokes, distance or time, as sometimes you're time or stroke restricted. Breaststroke hurts my knee, so an option to auto design a workout based on stroke preference would be good. I like other users idea of a user database. It would definitely extend the usability of this app 10 fold.",
,,,As a swimmer I find this app very useful and very easy to understand. However it would be awesome if the app could also give you dryland work outs to help strength your stroke.,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Makes it easy to track laps and different kinds of swimming techniques,,,,,,Makes it easy to track laps and different kinds of swimming techniques,,
,,,,,,,,Great for swim coaches!,,,
,,,,,,,,,,,
,,,,,,,,"It is a fantastic app, I just wish you were able to submit your own workouts. Essentially making a database for younger coaches.",,,
,,,,,,,"I would like to see even more levels of customization (workouts by stroke focus, sprinter vs distance, etc)",,,,
,,,,,,,,,,"I got this app to use with my Fitbit Iconic (which SUCKS). However, this app advertises it's available but it doesn't actually sync. Only the daily workouts are available on the Iconic. ALSO, the videos never open and it constantly freezes my phone. I've restarted, uninstalled and reinstalled. For $15.00/this app is ridiculous and a waste.",
,,,"This is the best swimming app I've downloaded by far. The workouts are clear, the interface is easy to use, and it allows me to keep track of all my swimming workouts! I just upgraded to premium and I'm really excited about the new content and advanced analytics. 10 out of 10 would download!",,,,,,"This is the best swimming app I've downloaded by far. The workouts are clear, the interface is easy to use, and it allows me to keep track of all my swimming workouts! I just upgraded to premium and I'm really excited about the new content and advanced analytics. 10 out of 10 would download!",,
,,,,,,,,,,,
,,,,,,,,,,"I like it, it has excellent trainings, but it could explain more some of the exercises. For example in back technique, 15 underwater per wall, i can imagine what it's, but it has no video or explanation.",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,Most of the functions are locked unless you pay money. The advanced setting is too easy if you're a regional or national level competitive swimmer.,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.",,,,,"Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.","Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.","Got the app 5 weeks ago and I have made more progress in that time than the whole 1.5 years of swimming on my own before. The customized coaching is great and the app certainly pushes you but never has unreasonably high expectations of you. The ability to customize what goals you are working towards, how often you swim, how fast you swim, and what strokes you swim are all excellent features. Only negative I’ve experienced is minor bugs with sync issues between the app and my smartwatch. This hasn’t impacted my ability to use all the features just needed to use work arounds with how the workout is accessed by the watch. Minor bugs stop me from giving it a 5* but I am still loving the app. If I could see some additional features the biggest would be the ability to go back a set/split in a workout. Sometimes I can’t keep up with the times it says and I fall behind so this would help keep me on track. Also, the ability to toggle which swim equipment you have access to. My pool offers kick boards and pullbouys but no fins or paddles and I’d imagine it varies for everyone.",,
,,,,,,,,,,"I am not a competíos swimmer but I enjoy it and wanted to push myself. I have been using this app for almost 6 months and it has been great! It’s so worth the fee. It has helped me continue to improve my technique and swim faster (my top two goals). It gives you weeks long plans based on your goals (which you can adjust) and the times for each workout are based on your past swim times. You can also make each workout shorter or longer in duration based on your needs for that day. It also has a library of swimming workouts that you can do as you choose. They also have videos on tips for how to improve form and drills. It has helped me begin to learn a new stroke (I’m leaning breaststroke). I also like that they offer dry land workouts! They can be done at home with minimum equipment (or none in lost cases). I also love the option to chat with employees when I have questions. This can a question about a note in a workout or swimming tips. Since I’m not part of a team, it feels really good to have that human contact! The app is compatible with Apple and Garmin watches. If you have one, you get to see what’s next while in the water and or records your time and more. If you don’t have one of these (I didn’t at first), you can take note of four times and the add the manually.",
,,,,,,"Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****","Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****","Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****",,"Very impressed.  As a long time swimmer with an Apple Watch, I didn’t think I wanted another app on top of Workout/Activities.  In fact I was initially annoyed that the app is designed for interval training not lap swimming.   I wanted notch up analytics for my laps at a slight cost, not a fully coached swim program.  But they’ve turned me around. From the moment my note to their customer service turned into a very rapid courteous personal reply, they began  winning me over.  Within 7 days I had begun to really appreciate feature sets and subscribed for a full year. Their app is loaded with pre-set and customizable workouts. You can for example remove kick drills from suggested workouts (my knee is injured) or checkout 15 second explanatory videos for stuff they want you to try. In short, a host of ways to make my swims more interesting.  I just finished a 1 on 1 call with their CS (currently offered to all subscribers) going over a few questions which they walked me through, noted my suggestions/concerns and patiently brought me into the world of their app.   I can understand why Apple gave them such high marks -  an very well designed product making use of Watch and phone tech , impressive CS, great GUI and what feels like an ever expanding future.  *****",
"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",,,,"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",,,"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.","Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",,"Let’s be honest, for many of us, our best competitive swimming years are behind us. Whether you’re a beginner, returning to the pool after taking years off, or in a master’s swim program - no doubt you need accountability, coaching, motivation and structure. Not only does this platform come with great pre-built swim plans and ability to build customized libraries - you get coaching through blogs and videos from swim experts. And if that weren’t enough, it connects you with a truly global swim community with some really awesome and humble people encouraging each other everyday. Using the watch in the water keeps you going and pushes you - better than your old coach yelling from the side of the pool! The stats and visuals are phenomenal. I’m amazed at how far I have progressed just following the pre-built plans. I have one paid app on my phone - it’s this one. But I don’t think of this as an app - because it isn’t. It is a complete support platform for people who swim. PS: tech will have issues from time to time - it’s the responsiveness of the team that matters. I’ve never had a tech issue that didn’t get resolved fully and ASAP.",
